"","Sample_ID","Sample_date","Sample_site","Response","Value"
"284","19990517-16-970",1999-05-17,"16-970","Lepto",0
"285","19990517-3-996",1999-05-17,"3-996","Lepto",0
"286","19990517-8-994",1999-05-17,"8-994","Lepto",3.60415930201111
"287","19990527-27-918",1999-05-27,"27-918","Lepto",1.0990397639371
"288","19990527-29-905",1999-05-27,"29-905","Lepto",1.10959262112282
"289","19990527-36-873",1999-05-27,"36-873","Lepto",0.555627430701054
"290","19990527-37-890",1999-05-27,"37-890","Lepto",0
"291","19990609-14-972",1999-06-09,"14-972","Lepto",0
"292","19990609-16-970",1999-06-09,"16-970","Lepto",6.2795908178717
"293","19990609-27-918",1999-06-09,"27-918","Lepto",10.1781377307645
"294","19990609-29-905",1999-06-09,"29-905","Lepto",4.16628862176521
"295","19990609-3-996",1999-06-09,"3-996","Lepto",0
"296","19990609-36-873",1999-06-09,"36-873","Lepto",16.4966068468834
"297","19990609-37-890",1999-06-09,"37-890","Lepto",6.95514480707213
"298","19990609-8-994",1999-06-09,"8-994","Lepto",2.59905893373433
"299","19990712-3-996",1999-07-12,"3-996","Lepto",0
"300","19990712-8-994",1999-07-12,"8-994","Lepto",0
"301","19990713-14-972",1999-07-13,"14-972","Lepto",4.25172624275577
"302","19990713-16-970",1999-07-13,"16-970","Lepto",30.4928800072779
"303","19990713-27-918",1999-07-13,"27-918","Lepto",3.59866163809113
"304","19990713-29-905",1999-07-13,"29-905","Lepto",7.04936698005507
"305","19990713-36-873",1999-07-13,"36-873","Lepto",11.6040267126592
"306","19990713-37-890",1999-07-13,"37-890","Lepto",1.72798964438619
"307","19990719-3-996",1999-07-19,"3-996","Lepto",0
"308","19990719-8-994",1999-07-19,"8-994","Lepto",0
"309","19990721-16-970",1999-07-21,"16-970","Lepto",0
"310","19990722-27-918",1999-07-22,"27-918","Lepto",4.02534217538244
"311","19990722-29-905",1999-07-22,"29-905","Lepto",3.96740148994598
"312","19990722-36-873",1999-07-22,"36-873","Lepto",0.88230881567045
"313","19990722-37-890",1999-07-22,"37-890","Lepto",0.825851057329745
"314","19990728-14-972",1999-07-28,"14-972","Lepto",9.72445501274525
"315","19990811-14-972",1999-08-11,"14-972","Lepto",0.541708090667493
"316","19990811-16-970",1999-08-11,"16-970","Lepto",0
"317","19990811-3-996",1999-08-11,"3-996","Lepto",0
"318","19990811-8-994",1999-08-11,"8-994","Lepto",3.17599155126672
"319","19990812-27-918",1999-08-12,"27-918","Lepto",2.5237768797454
"320","19990812-29-905",1999-08-12,"29-905","Lepto",6.30386132494569
"321","19990812-36-873",1999-08-12,"36-873","Lepto",14.882602984542
"322","19990812-37-890",1999-08-12,"37-890","Lepto",2.0155276335987
"323","19990824-3-996",1999-08-24,"3-996","Lepto",14.341796713284
"324","19990824-8-994",1999-08-24,"8-994","Lepto",5.80739599742622
"325","19990825-27-918",1999-08-25,"27-918","Lepto",28.5579811287683
"326","19990825-29-905",1999-08-25,"29-905","Lepto",1.8959660724731
"327","19990825-36-873",1999-08-25,"36-873","Lepto",11.4848459482504
"328","19990825-37-890",1999-08-25,"37-890","Lepto",2.85540120692737
"329","19990826-14-972",1999-08-26,"14-972","Lepto",2.83221620471561
"330","19990826-16-970",1999-08-26,"16-970","Lepto",0
"331","19990927-14-972",1999-09-27,"14-972","Lepto",0.216939683254033
"332","19990927-16-970",1999-09-27,"16-970","Lepto",0
"333","19990927-27-918",1999-09-27,"27-918","Lepto",0.559783478456606
"334","19990927-3-996",1999-09-27,"3-996","Lepto",0
"335","19990927-8-994",1999-09-27,"8-994","Lepto",0
"336","19990928-29-905",1999-09-28,"29-905","Lepto",1.22453442172308
"337","19990928-36-873",1999-09-28,"36-873","Lepto",2.22095384945372
"338","19990928-37-890",1999-09-28,"37-890","Lepto",2.19402592403756
"339","20000502-3-996",2000-05-02,"3-996","Lepto",0
"340","20000502-8-994",2000-05-02,"8-994","Lepto",0.126890803984982
"341","20000503-14-972",2000-05-03,"14-972","Lepto",0
"342","20000503-16-970",2000-05-03,"16-970","Lepto",0
"343","20000503-27-918",2000-05-03,"27-918","Lepto",0
"344","20000503-29-905",2000-05-03,"29-905","Lepto",0
"345","20000503-36-873",2000-05-03,"36-873","Lepto",0
"346","20000503-37-890",2000-05-03,"37-890","Lepto",0.166353660356059
"347","20000516-14-972",2000-05-16,"14-972","Lepto",0
"348","20000516-16-970",2000-05-16,"16-970","Lepto",3.25246695705052
"349","20000516-27-918",2000-05-16,"27-918","Lepto",0
"350","20000516-29-905",2000-05-16,"29-905","Lepto",0
"351","20000516-3-996",2000-05-16,"3-996","Lepto",4.1557190564023
"352","20000516-36-873",2000-05-16,"36-873","Lepto",1.68426365396
"353","20000516-37-890",2000-05-16,"37-890","Lepto",2.33036643490716
"354","20000516-8-994",2000-05-16,"8-994","Lepto",0
"355","20000607-14-972",2000-06-07,"14-972","Lepto",1.10180395894531
"356","20000607-16-970",2000-06-07,"16-970","Lepto",13.1901186111106
"357","20000607-27-918",2000-06-07,"27-918","Lepto",8.85196574944652
"358","20000607-29-905",2000-06-07,"29-905","Lepto",7.24237234054761
"359","20000607-3-996",2000-06-07,"3-996","Lepto",18.4559663372184
"360","20000607-36-873",2000-06-07,"36-873","Lepto",0
"361","20000607-37-890",2000-06-07,"37-890","Lepto",1.22803990490051
"362","20000607-8-994",2000-06-07,"8-994","Lepto",0
"363","20000619-14-972",2000-06-19,"14-972","Lepto",0
"364","20000619-16-970",2000-06-19,"16-970","Lepto",0
"365","20000619-27-918",2000-06-19,"27-918","Lepto",42.0390987398166
"366","20000619-29-905",2000-06-19,"29-905","Lepto",21.2897355967405
"367","20000619-3-996",2000-06-19,"3-996","Lepto",0
"368","20000619-36-873",2000-06-19,"36-873","Lepto",53.888565115778
"369","20000619-37-890",2000-06-19,"37-890","Lepto",3.24218443766487
"370","20000619-8-994",2000-06-19,"8-994","Lepto",0
"371","20000710-14-972",2000-07-10,"14-972","Lepto",0
"372","20000710-16-970",2000-07-10,"16-970","Lepto",5.82423364392975
"373","20000710-3-996",2000-07-10,"3-996","Lepto",23.6429220375104
"374","20000710-8-994",2000-07-10,"8-994","Lepto",18.4668253877762
"375","20000717-16-970",2000-07-17,"16-970","Lepto",0
"376","20000719-3-996",2000-07-19,"3-996","Lepto",0.86802948963557
"377","20000719-8-994",2000-07-19,"8-994","Lepto",9.72799872161934
"378","20000720-14-972",2000-07-20,"14-972","Lepto",0.0885315767680853
"379","20000720-27-918",2000-07-20,"27-918","Lepto",8.36456511271127
"380","20000720-29-905",2000-07-20,"29-905","Lepto",6.67200370765155
"381","20000720-36-873",2000-07-20,"36-873","Lepto",2.44713332121546
"382","20000720-37-890",2000-07-20,"37-890","Lepto",4.22164669405549
"383","20000804-14-972",2000-08-04,"14-972","Lepto",4.22157726724433
"384","20000804-16-970",2000-08-04,"16-970","Lepto",0
"385","20000804-3-996",2000-08-04,"3-996","Lepto",0.82737007463579
"386","20000804-8-994",2000-08-04,"8-994","Lepto",31.5851180087432
"387","20000821-14-972",2000-08-21,"14-972","Lepto",0.42046657446034
"388","20000821-16-970",2000-08-21,"16-970","Lepto",1.19366157716968
"389","20000822-27-918",2000-08-22,"27-918","Lepto",0.0654469973404934
